"","uid","species_group","cover"
"157","HM.1.C.51.2017","horsetail",0
"158","HM.1.C.51.2017","moss",0
"159","HM.1.C.51.2017","rush",20
"160","HM.1.C.51.2017","sedge",14
"161","HM.1.C.51.2017","woodrush",0
"162","HM.1.C.54.2017","grass",34
"163","HM.1.C.54.2017","herb",54
"164","HM.1.C.54.2017","horsetail",0
"165","HM.1.C.54.2017","moss",0
"166","HM.1.C.54.2017","rush",27
"167","HM.1.C.54.2017","sedge",2
"168","HM.1.C.54.2017","woodrush",0
"169","HM.1.C.61.2017","grass",42
"170","HM.1.C.61.2017","herb",42
"171","HM.1.C.61.2017","horsetail",0
"172","HM.1.C.61.2017","moss",0
"173","HM.1.C.61.2017","rush",16
"174","HM.1.C.61.2017","sedge",2
"175","HM.1.C.61.2017","woodrush",0
"176","HM.1.C.85.2016","grass",27
"177","HM.1.C.85.2016","herb",43
"178","HM.1.C.85.2016","horsetail",0
"179","HM.1.C.85.2016","moss",0
"180","HM.1.C.85.2016","rush",28
"181","HM.1.C.85.2016","sedge",14
"182","HM.1.C.85.2016","woodrush",0
"183","HM.1.C.91.2015","grass",26
"184","HM.1.C.91.2015","herb",60
"185","HM.1.C.91.2015","horsetail",0
"186","HM.1.C.91.2015","moss",0
"187","HM.1.C.91.2015","rush",3
"188","HM.1.C.91.2015","sedge",7
"189","HM.1.C.91.2015","woodrush",0
"190","HM.2.A.15.2015","grass",54
"191","HM.2.A.15.2015","herb",62
"192","HM.2.A.15.2015","horsetail",0
"193","HM.2.A.15.2015","moss",0
"194","HM.2.A.15.2015","rush",23
"195","HM.2.A.15.2015","sedge",14
"196","HM.2.A.15.2015","woodrush",0
"197","HM.2.A.29.2016","grass",89
"198","HM.2.A.29.2016","herb",66
"199","HM.2.A.29.2016","horsetail",0
"200","HM.2.A.29.2016","moss",0
"201","HM.2.A.29.2016","rush",23
"202","HM.2.A.29.2016","sedge",2
"203","HM.2.A.29.2016","woodrush",0
"204","HM.2.A.35.2015","grass",60
"205","HM.2.A.35.2015","herb",47
"206","HM.2.A.35.2015","horsetail",0
"207","HM.2.A.35.2015","moss",0
"208","HM.2.A.35.2015","rush",28
"209","HM.2.A.35.2015","sedge",4
"210","HM.2.A.35.2015","woodrush",0
"211","HM.2.A.53.2017","grass",42
"212","HM.2.A.53.2017","herb",42
"213","HM.2.A.53.2017","horsetail",0
"214","HM.2.A.53.2017","moss",0
"215","HM.2.A.53.2017","rush",47
"216","HM.2.A.53.2017","sedge",5
"217","HM.2.A.53.2017","woodrush",0
"218","HM.2.A.59.2017","grass",37
"219","HM.2.A.59.2017","herb",42
"220","HM.2.A.59.2017","horsetail",0
"221","HM.2.A.59.2017","moss",0
"222","HM.2.A.59.2017","rush",16
"223","HM.2.A.59.2017","sedge",14
"224","HM.2.A.59.2017","woodrush",0
"225","HM.2.A.6.2017","grass",40
"226","HM.2.A.6.2017","herb",45
"227","HM.2.A.6.2017","horsetail",0
"228","HM.2.A.6.2017","moss",0
"229","HM.2.A.6.2017","rush",23
"230","HM.2.A.6.2017","sedge",1
"231","HM.2.A.6.2017","woodrush",0
"232","HM.2.A.71.2016","grass",49
"233","HM.2.A.71.2016","herb",66
"234","HM.2.A.71.2016","horsetail",0
"235","HM.2.A.71.2016","moss",0
"236","HM.2.A.71.2016","rush",12
"237","HM.2.A.71.2016","sedge",14
"238","HM.2.A.71.2016","woodrush",1
"239","HM.2.A.8.2015","grass",52
"240","HM.2.A.8.2015","herb",49
"241","HM.2.A.8.2015","horsetail",0
"242","HM.2.A.8.2015","moss",0
"243","HM.2.A.8.2015","rush",21
"244","HM.2.A.8.2015","sedge",14
"245","HM.2.A.8.2015","woodrush",0
"246","HM.2.A.80.2016","grass",50
"247","HM.2.A.80.2016","herb",32
"248","HM.2.A.80.2016","horsetail",0
"249","HM.2.A.80.2016","moss",0
"250","HM.2.A.80.2016","rush",28
"251","HM.2.A.80.2016","sedge",2
"252","HM.2.A.80.2016","woodrush",0
"253","HM.2.B.15.2016","grass",38
"254","HM.2.B.15.2016","herb",46
"255","HM.2.B.15.2016","horsetail",0
"256","HM.2.B.15.2016","moss",0
"257","HM.2.B.15.2016","rush",19
"258","HM.2.B.15.2016","sedge",6
"259","HM.2.B.15.2016","woodrush",0
"260","HM.2.B.29.2017","grass",48
"261","HM.2.B.29.2017","herb",70
"262","HM.2.B.29.2017","horsetail",0
"263","HM.2.B.29.2017","moss",0
"264","HM.2.B.29.2017","rush",20
"265","HM.2.B.29.2017","sedge",14
"266","HM.2.B.29.2017","woodrush",0
"267","HM.2.B.35.2016","grass",27
"268","HM.2.B.35.2016","herb",56
"269","HM.2.B.35.2016","horsetail",0
"270","HM.2.B.35.2016","moss",0
"271","HM.2.B.35.2016","rush",20
"272","HM.2.B.35.2016","sedge",8
"273","HM.2.B.35.2016","woodrush",0
"274","HM.2.B.53.2015","grass",55
"275","HM.2.B.53.2015","herb",43
"276","HM.2.B.53.2015","horsetail",0
"277","HM.2.B.53.2015","moss",0
"278","HM.2.B.53.2015","rush",2
"279","HM.2.B.53.2015","sedge",4
"280","HM.2.B.53.2015","woodrush",0
"281","HM.2.B.59.2015","grass",39
"282","HM.2.B.59.2015","herb",59
"283","HM.2.B.59.2015","horsetail",0
"284","HM.2.B.59.2015","moss",1
"285","HM.2.B.59.2015","rush",19
"286","HM.2.B.59.2015","sedge",3
"287","HM.2.B.59.2015","woodrush",0
"288","HM.2.B.6.2015","grass",54
"289","HM.2.B.6.2015","herb",80
"290","HM.2.B.6.2015","horsetail",0
"291","HM.2.B.6.2015","moss",0
"292","HM.2.B.6.2015","rush",28
"293","HM.2.B.6.2015","sedge",4
"294","HM.2.B.6.2015","woodrush",0
"295","HM.2.B.71.2017","grass",68
"296","HM.2.B.71.2017","herb",67
"297","HM.2.B.71.2017","horsetail",0
"298","HM.2.B.71.2017","moss",0
"299","HM.2.B.71.2017","rush",5
"300","HM.2.B.71.2017","sedge",2
"301","HM.2.B.71.2017","woodrush",0
"302","HM.2.B.8.2016","grass",85
"303","HM.2.B.8.2016","herb",73
"304","HM.2.B.8.2016","horsetail",0
"305","HM.2.B.8.2016","moss",0
"306","HM.2.B.8.2016","rush",30
"307","HM.2.B.8.2016","sedge",4
"308","HM.2.B.8.2016","woodrush",0
"309","HM.2.B.80.2017","grass",57
"310","HM.2.B.80.2017","herb",65
"311","HM.2.B.80.2017","horsetail",0
"312","HM.2.B.80.2017","moss",0
"313","HM.2.B.80.2017","rush",52
"314","HM.2.B.80.2017","sedge",14
"315","HM.2.B.80.2017","woodrush",0
"316","HM.2.C.15.2017","grass",52
"317","HM.2.C.15.2017","herb",58
"318","HM.2.C.15.2017","horsetail",0
"319","HM.2.C.15.2017","moss",0
"320","HM.2.C.15.2017","rush",12
"321","HM.2.C.15.2017","sedge",19
"322","HM.2.C.15.2017","woodrush",0
"323","HM.2.C.29.2015","grass",41
"324","HM.2.C.29.2015","herb",45
"325","HM.2.C.29.2015","horsetail",0
"326","HM.2.C.29.2015","moss",0
"327","HM.2.C.29.2015","rush",7
"328","HM.2.C.29.2015","sedge",2
"329","HM.2.C.29.2015","woodrush",0
"330","HM.2.C.35.2017","grass",61
"331","HM.2.C.35.2017","herb",58
"332","HM.2.C.35.2017","horsetail",0
"333","HM.2.C.35.2017","moss",0
"334","HM.2.C.35.2017","rush",23
"335","HM.2.C.35.2017","sedge",19
"336","HM.2.C.35.2017","woodrush",0
"337","HM.2.C.53.2016","grass",35
"338","HM.2.C.53.2016","herb",41
"339","HM.2.C.53.2016","horsetail",0
"340","HM.2.C.53.2016","moss",0
"341","HM.2.C.53.2016","rush",48
"342","HM.2.C.53.2016","sedge",4
"343","HM.2.C.53.2016","woodrush",0
"344","HM.2.C.59.2016","grass",24
"345","HM.2.C.59.2016","herb",69
"346","HM.2.C.59.2016","horsetail",0
"347","HM.2.C.59.2016","moss",0
"348","HM.2.C.59.2016","rush",35
"349","HM.2.C.59.2016","sedge",15
"350","HM.2.C.59.2016","woodrush",0
"351","HM.2.C.6.2016","grass",69
"352","HM.2.C.6.2016","herb",29
"353","HM.2.C.6.2016","horsetail",0
"354","HM.2.C.6.2016","moss",0
"355","HM.2.C.6.2016","rush",35
"356","HM.2.C.6.2016","sedge",4
"357","HM.2.C.6.2016","woodrush",0
"358","HM.2.C.71.2015","grass",22
"359","HM.2.C.71.2015","herb",64
"360","HM.2.C.71.2015","horsetail",0
"361","HM.2.C.71.2015","moss",0
"362","HM.2.C.71.2015","rush",16
"363","HM.2.C.71.2015","sedge",2
"364","HM.2.C.71.2015","woodrush",0
"365","HM.2.C.8.2017","grass",28
"366","HM.2.C.8.2017","herb",26
"367","HM.2.C.8.2017","horsetail",0
"368","HM.2.C.8.2017","moss",0
"369","HM.2.C.8.2017","rush",24
"370","HM.2.C.8.2017","sedge",1
"371","HM.2.C.8.2017","woodrush",0
"372","HM.2.C.80.2015","grass",36
"373","HM.2.C.80.2015","herb",67
"374","HM.2.C.80.2015","horsetail",0
"375","HM.2.C.80.2015","moss",0
"376","HM.2.C.80.2015","rush",0
"377","HM.2.C.80.2015","sedge",2
"378","HM.2.C.80.2015","woodrush",0
"379","HM.3.A.3.2017","grass",47
"380","HM.3.A.3.2017","herb",65
"381","HM.3.A.3.2017","horsetail",0
"382","HM.3.A.3.2017","moss",0
"383","HM.3.A.3.2017","rush",23
"384","HM.3.A.3.2017","sedge",14
"385","HM.3.A.3.2017","woodrush",0
"386","HM.3.A.31.2015","grass",72
"387","HM.3.A.31.2015","herb",57
"388","HM.3.A.31.2015","horsetail",0
"389","HM.3.A.31.2015","moss",0
"390","HM.3.A.31.2015","rush",0
"391","HM.3.A.31.2015","sedge",7
"392","HM.3.A.31.2015","woodrush",0
"393","HM.3.A.47.2015","grass",68
"394","HM.3.A.47.2015","herb",53
"395","HM.3.A.47.2015","horsetail",0
"396","HM.3.A.47.2015","moss",0
"397","HM.3.A.47.2015","rush",16
"398","HM.3.A.47.2015","sedge",2
"399","HM.3.A.47.2015","woodrush",0
"400","HM.3.A.51.2016","grass",78
"401","HM.3.A.51.2016","herb",45
"402","HM.3.A.51.2016","horsetail",0
"403","HM.3.A.51.2016","moss",0
"404","HM.3.A.51.2016","rush",13
"405","HM.3.A.51.2016","sedge",14
"406","HM.3.A.51.2016","woodrush",0
"407","HM.3.A.7.2016","grass",39
"408","HM.3.A.7.2016","herb",35
"409","HM.3.A.7.2016","horsetail",0
"410","HM.3.A.7.2016","moss",0
"411","HM.3.A.7.2016","rush",16
"412","HM.3.A.7.2016","sedge",5
"413","HM.3.A.7.2016","woodrush",0
"414","HM.3.A.73.2017","grass",54
"415","HM.3.A.73.2017","herb",54
"416","HM.3.A.73.2017","horsetail",0
"417","HM.3.A.73.2017","moss",0
"418","HM.3.A.73.2017","rush",12
"419","HM.3.A.73.2017","sedge",14
"420","HM.3.A.73.2017","woodrush",0
"421","HM.3.A.74.2015","grass",41
"422","HM.3.A.74.2015","herb",54
"423","HM.3.A.74.2015","horsetail",0
"424","HM.3.A.74.2015","moss",0
"425","HM.3.A.74.2015","rush",12
"426","HM.3.A.74.2015","sedge",7
"427","HM.3.A.74.2015","woodrush",0
"428","HM.3.A.82.2016","grass",60
"429","HM.3.A.82.2016","herb",24
"430","HM.3.A.82.2016","horsetail",0
"431","HM.3.A.82.2016","moss",0
"432","HM.3.A.82.2016","rush",20
"433","HM.3.A.82.2016","sedge",15
"434","HM.3.A.82.2016","woodrush",0
"435","HM.3.A.88.2017","grass",59
"436","HM.3.A.88.2017","herb",59
"437","HM.3.A.88.2017","horsetail",0
"438","HM.3.A.88.2017","moss",0
"439","HM.3.A.88.2017","rush",28
"440","HM.3.A.88.2017","sedge",2
"441","HM.3.A.88.2017","woodrush",0
"442","HM.3.B.3.2015","grass",49
"443","HM.3.B.3.2015","herb",70
"444","HM.3.B.3.2015","horsetail",0
"445","HM.3.B.3.2015","moss",2
"446","HM.3.B.3.2015","rush",16
"447","HM.3.B.3.2015","sedge",1
"448","HM.3.B.3.2015","woodrush",0
"449","HM.3.B.31.2016","grass",58
"450","HM.3.B.31.2016","herb",32
"451","HM.3.B.31.2016","horsetail",0
"452","HM.3.B.31.2016","moss",0
"453","HM.3.B.31.2016","rush",11
"454","HM.3.B.31.2016","sedge",2
"455","HM.3.B.31.2016","woodrush",0
"456","HM.3.B.47.2016","grass",29
"457","HM.3.B.47.2016","herb",40
"458","HM.3.B.47.2016","horsetail",0
"459","HM.3.B.47.2016","moss",0
"460","HM.3.B.47.2016","rush",11
"461","HM.3.B.47.2016","sedge",9
"462","HM.3.B.47.2016","woodrush",0
"463","HM.3.B.52.2017","grass",21
"464","HM.3.B.52.2017","herb",56
"465","HM.3.B.52.2017","horsetail",0
"466","HM.3.B.52.2017","moss",0
"467","HM.3.B.52.2017","rush",15
"468","HM.3.B.52.2017","sedge",2
"469","HM.3.B.52.2017","woodrush",0
"470","HM.3.B.7.2017","grass",46
"471","HM.3.B.7.2017","herb",34
"472","HM.3.B.7.2017","horsetail",0
"473","HM.3.B.7.2017","moss",0
"474","HM.3.B.7.2017","rush",37
"475","HM.3.B.7.2017","sedge",0
"476","HM.3.B.7.2017","woodrush",0
"477","HM.3.B.73.2015","grass",43
"478","HM.3.B.73.2015","herb",52
"479","HM.3.B.73.2015","horsetail",0
"480","HM.3.B.73.2015","moss",0
"481","HM.3.B.73.2015","rush",5
"482","HM.3.B.73.2015","sedge",3
"483","HM.3.B.73.2015","woodrush",0
"484","HM.3.B.74.2016","grass",23
"485","HM.3.B.74.2016","herb",68
"486","HM.3.B.74.2016","horsetail",0
"487","HM.3.B.74.2016","moss",0
"488","HM.3.B.74.2016","rush",3
"489","HM.3.B.74.2016","sedge",17
"490","HM.3.B.74.2016","woodrush",0
"491","HM.3.B.82.2017","grass",27
"492","HM.3.B.82.2017","herb",46
"493","HM.3.B.82.2017","horsetail",0
"494","HM.3.B.82.2017","moss",0
"495","HM.3.B.82.2017","rush",42
"496","HM.3.B.82.2017","sedge",4
"497","HM.3.B.82.2017","woodrush",0
"498","HM.3.B.88.2015","grass",32
"499","HM.3.B.88.2015","herb",74
"500","HM.3.B.88.2015","horsetail",0
"501","HM.3.B.88.2015","moss",0
"502","HM.3.B.88.2015","rush",0
"503","HM.3.B.88.2015","sedge",8
"504","HM.3.B.88.2015","woodrush",0
"505","HM.3.C.3.2016","grass",76
"506","HM.3.C.3.2016","herb",64
"507","HM.3.C.3.2016","horsetail",0
"508","HM.3.C.3.2016","moss",0
"509","HM.3.C.3.2016","rush",36
"510","HM.3.C.3.2016","sedge",8
"511","HM.3.C.3.2016","woodrush",0
"512","HM.3.C.31.2017","grass",30
"513","HM.3.C.31.2017","herb",57
"514","HM.3.C.31.2017","horsetail",0
"515","HM.3.C.31.2017","moss",0
"516","HM.3.C.31.2017","rush",6
"517","HM.3.C.31.2017","sedge",1
"518","HM.3.C.31.2017","woodrush",0
"519","HM.3.C.47.2017","grass",56
"520","HM.3.C.47.2017","herb",54
"521","HM.3.C.47.2017","horsetail",0
"522","HM.3.C.47.2017","moss",0
"523","HM.3.C.47.2017","rush",21
"524","HM.3.C.47.2017","sedge",16
"525","HM.3.C.47.2017","woodrush",0
"526","HM.3.C.52.2015","grass",26
"527","HM.3.C.52.2015","herb",47
"528","HM.3.C.52.2015","horsetail",0
"529","HM.3.C.52.2015","moss",0
"530","HM.3.C.52.2015","rush",12
"531","HM.3.C.52.2015","sedge",7
"532","HM.3.C.52.2015","woodrush",0
"533","HM.3.C.7.2015","grass",31
"534","HM.3.C.7.2015","herb",54
"535","HM.3.C.7.2015","horsetail",0
"536","HM.3.C.7.2015","moss",0
"537","HM.3.C.7.2015","rush",0
"538","HM.3.C.7.2015","sedge",7
"539","HM.3.C.7.2015","woodrush",0
"540","HM.3.C.73.2016","grass",59
"541","HM.3.C.73.2016","herb",67
"542","HM.3.C.73.2016","horsetail",0
"543","HM.3.C.73.2016","moss",0
"544","HM.3.C.73.2016","rush",31
"545","HM.3.C.73.2016","sedge",14
"546","HM.3.C.73.2016","woodrush",0
"547","HM.3.C.74.2017","grass",25
"548","HM.3.C.74.2017","herb",74
"549","HM.3.C.74.2017","horsetail",0
"550","HM.3.C.74.2017","moss",0
"551","HM.3.C.74.2017","rush",34
"552","HM.3.C.74.2017","sedge",14
"553","HM.3.C.74.2017","woodrush",0
"554","HM.3.C.82.2015","grass",50
"555","HM.3.C.82.2015","herb",65
"556","HM.3.C.82.2015","horsetail",0
"557","HM.3.C.82.2015","moss",0
"558","HM.3.C.82.2015","rush",45
"559","HM.3.C.82.2015","sedge",4
"560","HM.3.C.82.2015","woodrush",0
"561","HM.3.C.88.2016","grass",90
"562","HM.3.C.88.2016","herb",84
"563","HM.3.C.88.2016","horsetail",0
"564","HM.3.C.88.2016","moss",0
"565","HM.3.C.88.2016","rush",28
"566","HM.3.C.88.2016","sedge",11
"567","HM.3.C.88.2016","woodrush",0
"568","HM.4.A.19.2017","grass",41
"569","HM.4.A.19.2017","herb",47
"570","HM.4.A.19.2017","horsetail",0
"571","HM.4.A.19.2017","moss",0
"572","HM.4.A.19.2017","rush",33
"573","HM.4.A.19.2017","sedge",2
"574","HM.4.A.19.2017","woodrush",0
"575","HM.4.A.2.2017","grass",61
"576","HM.4.A.2.2017","herb",77
"577","HM.4.A.2.2017","horsetail",0
"578","HM.4.A.2.2017","moss",0
"579","HM.4.A.2.2017","rush",25
"580","HM.4.A.2.2017","sedge",16
"581","HM.4.A.2.2017","woodrush",0
"582","HM.4.A.24.2015","grass",20
"583","HM.4.A.24.2015","herb",66
"584","HM.4.A.24.2015","horsetail",0
"585","HM.4.A.24.2015","moss",1
"586","HM.4.A.24.2015","rush",30
"587","HM.4.A.24.2015","sedge",17
"588","HM.4.A.24.2015","woodrush",0
"589","HM.4.A.37.2015","grass",28
"590","HM.4.A.37.2015","herb",80
"591","HM.4.A.37.2015","horsetail",0
"592","HM.4.A.37.2015","moss",1
"593","HM.4.A.37.2015","rush",12
"594","HM.4.A.37.2015","sedge",4
"595","HM.4.A.37.2015","woodrush",0
"596","HM.4.A.38.2017","grass",24
"597","HM.4.A.38.2017","herb",55
"598","HM.4.A.38.2017","horsetail",0
"599","HM.4.A.38.2017","moss",0
"600","HM.4.A.38.2017","rush",20
"601","HM.4.A.38.2017","sedge",14
"602","HM.4.A.38.2017","woodrush",0
"603","HM.4.A.58.2016","grass",74
"604","HM.4.A.58.2016","herb",75
"605","HM.4.A.58.2016","horsetail",0
"606","HM.4.A.58.2016","moss",0
"607","HM.4.A.58.2016","rush",16
"608","HM.4.A.58.2016","sedge",15
"609","HM.4.A.58.2016","woodrush",0
"610","HM.4.A.65.2016","grass",59
"611","HM.4.A.65.2016","herb",90
"612","HM.4.A.65.2016","horsetail",0
"613","HM.4.A.65.2016","moss",0
"614","HM.4.A.65.2016","rush",12
"615","HM.4.A.65.2016","sedge",14
"616","HM.4.A.65.2016","woodrush",0
"617","HM.4.A.73.2016","grass",64
"618","HM.4.A.73.2016","herb",60
"619","HM.4.A.73.2016","horsetail",0
"620","HM.4.A.73.2016","moss",0
"621","HM.4.A.73.2016","rush",30
"622","HM.4.A.73.2016","sedge",16
"623","HM.4.A.73.2016","woodrush",0
"624","HM.4.A.9.2015","grass",26
"625","HM.4.A.9.2015","herb",49
"626","HM.4.A.9.2015","horsetail",0
"627","HM.4.A.9.2015","moss",1
"628","HM.4.A.9.2015","rush",35
"629","HM.4.A.9.2015","sedge",2
"630","HM.4.A.9.2015","woodrush",0
"631","HM.4.B.19.2015","grass",66
"632","HM.4.B.19.2015","herb",59
"633","HM.4.B.19.2015","horsetail",0
"634","HM.4.B.19.2015","moss",5
"635","HM.4.B.19.2015","rush",17
"636","HM.4.B.19.2015","sedge",4
"637","HM.4.B.19.2015","woodrush",0
"638","HM.4.B.2.2015","grass",29
"639","HM.4.B.2.2015","herb",52
"640","HM.4.B.2.2015","horsetail",0
"641","HM.4.B.2.2015","moss",0
"642","HM.4.B.2.2015","rush",7
"643","HM.4.B.2.2015","sedge",4
"644","HM.4.B.2.2015","woodrush",0
"645","HM.4.B.24.2016","grass",21
"646","HM.4.B.24.2016","herb",51
"647","HM.4.B.24.2016","horsetail",0
"648","HM.4.B.24.2016","moss",0
"649","HM.4.B.24.2016","rush",11
"650","HM.4.B.24.2016","sedge",6
"651","HM.4.B.24.2016","woodrush",0
"652","HM.4.B.38.2015","grass",39
"653","HM.4.B.38.2015","herb",42
"654","HM.4.B.38.2015","horsetail",0
"655","HM.4.B.38.2015","moss",1
"656","HM.4.B.38.2015","rush",2
"657","HM.4.B.38.2015","sedge",2
"658","HM.4.B.38.2015","woodrush",0
"659","HM.4.B.58.2017","grass",53
"660","HM.4.B.58.2017","herb",59
"661","HM.4.B.58.2017","horsetail",0
"662","HM.4.B.58.2017","moss",0
"663","HM.4.B.58.2017","rush",19
"664","HM.4.B.58.2017","sedge",2
"665","HM.4.B.58.2017","woodrush",0
"666","HM.4.B.65.2017","grass",61
"667","HM.4.B.65.2017","herb",52
"668","HM.4.B.65.2017","horsetail",0
"669","HM.4.B.65.2017","moss",0
"670","HM.4.B.65.2017","rush",17
"671","HM.4.B.65.2017","sedge",1
"672","HM.4.B.65.2017","woodrush",0
"673","HM.4.B.67.2016","grass",72
"674","HM.4.B.67.2016","herb",60
