"uid","species_group","cover"
"HM.1.A.91.2016","moss",0
"HM.1.A.91.2016","rush",17
"HM.1.A.91.2016","sedge",15
"HM.1.A.91.2016","woodrush",0
"HM.1.B.11.2017","grass",24
"HM.1.B.11.2017","herb",80
"HM.1.B.11.2017","horsetail",0
"HM.1.B.11.2017","moss",0
"HM.1.B.11.2017","rush",12
"HM.1.B.11.2017","sedge",3
"HM.1.B.11.2017","woodrush",0
"HM.1.B.20.2015","grass",65
"HM.1.B.20.2015","herb",51
"HM.1.B.20.2015","horsetail",0
"HM.1.B.20.2015","moss",0
"HM.1.B.20.2015","rush",11
"HM.1.B.20.2015","sedge",13
"HM.1.B.20.2015","woodrush",0
"HM.1.B.44.2017","grass",21
"HM.1.B.44.2017","herb",66
"HM.1.B.44.2017","horsetail",0
"HM.1.B.44.2017","moss",0
"HM.1.B.44.2017","rush",19
"HM.1.B.44.2017","sedge",6
"HM.1.B.44.2017","woodrush",0
"HM.1.B.51.2016","grass",45
"HM.1.B.51.2016","herb",67
"HM.1.B.51.2016","horsetail",0
"HM.1.B.51.2016","moss",0
"HM.1.B.51.2016","rush",21
"HM.1.B.51.2016","sedge",2
"HM.1.B.51.2016","woodrush",0
"HM.1.B.54.2016","grass",23
"HM.1.B.54.2016","herb",70
"HM.1.B.54.2016","horsetail",0
"HM.1.B.54.2016","moss",0
"HM.1.B.54.2016","rush",12
"HM.1.B.54.2016","sedge",14
"HM.1.B.54.2016","woodrush",0
"HM.1.B.55.2015","grass",58
"HM.1.B.55.2015","herb",59
"HM.1.B.55.2015","horsetail",0
"HM.1.B.55.2015","moss",0
"HM.1.B.55.2015","rush",30
"HM.1.B.55.2015","sedge",10
"HM.1.B.55.2015","woodrush",0
"HM.1.B.61.2016","grass",66
"HM.1.B.61.2016","herb",56
"HM.1.B.61.2016","horsetail",0
"HM.1.B.61.2016","moss",0
"HM.1.B.61.2016","rush",16
"HM.1.B.61.2016","sedge",11
"HM.1.B.61.2016","woodrush",0
"HM.1.B.85.2015","grass",57
"HM.1.B.85.2015","herb",31
"HM.1.B.85.2015","horsetail",0
"HM.1.B.85.2015","moss",0
"HM.1.B.85.2015","rush",30
"HM.1.B.85.2015","sedge",12
"HM.1.B.85.2015","woodrush",0
"HM.1.B.91.2017","grass",50
"HM.1.B.91.2017","herb",33
"HM.1.B.91.2017","horsetail",0
"HM.1.B.91.2017","moss",0
"HM.1.B.91.2017","rush",12
"HM.1.B.91.2017","sedge",1
"HM.1.B.91.2017","woodrush",0
"HM.1.C.11.2015","grass",21
"HM.1.C.11.2015","herb",43
"HM.1.C.11.2015","horsetail",0
"HM.1.C.11.2015","moss",0
"HM.1.C.11.2015","rush",34
"HM.1.C.11.2015","sedge",2
"HM.1.C.11.2015","woodrush",0
"HM.1.C.20.2016","grass",59
"HM.1.C.20.2016","herb",42
"HM.1.C.20.2016","horsetail",0
"HM.1.C.20.2016","moss",0
"HM.1.C.20.2016","rush",6
"HM.1.C.20.2016","sedge",2
"HM.1.C.20.2016","woodrush",0
"HM.1.C.35.2016","grass",41
"HM.1.C.35.2016","herb",62
"HM.1.C.35.2016","horsetail",0
"HM.1.C.35.2016","moss",0
"HM.1.C.35.2016","rush",31
"HM.1.C.35.2016","sedge",2
"HM.1.C.35.2016","woodrush",0
"HM.1.C.44.2015","grass",31
"HM.1.C.44.2015","herb",54
"HM.1.C.44.2015","horsetail",0
"HM.1.C.44.2015","moss",0
"HM.1.C.44.2015","rush",7
"HM.1.C.44.2015","sedge",2
"HM.1.C.44.2015","woodrush",0
"HM.1.C.51.2017","grass",50
"HM.1.C.51.2017","herb",61
"HM.1.C.51.2017","horsetail",0
"HM.1.C.51.2017","moss",0
"HM.1.C.51.2017","rush",20
"HM.1.C.51.2017","sedge",14
"HM.1.C.51.2017","woodrush",0
"HM.1.C.54.2017","grass",34
"HM.1.C.54.2017","herb",54
"HM.1.C.54.2017","horsetail",0
"HM.1.C.54.2017","moss",0
"HM.1.C.54.2017","rush",27
"HM.1.C.54.2017","sedge",2
"HM.1.C.54.2017","woodrush",0
"HM.1.C.61.2017","grass",42
"HM.1.C.61.2017","herb",42
"HM.1.C.61.2017","horsetail",0
"HM.1.C.61.2017","moss",0
"HM.1.C.61.2017","rush",16
"HM.1.C.61.2017","sedge",2
"HM.1.C.61.2017","woodrush",0
"HM.1.C.85.2016","grass",27
"HM.1.C.85.2016","herb",43
"HM.1.C.85.2016","horsetail",0
"HM.1.C.85.2016","moss",0
"HM.1.C.85.2016","rush",28
"HM.1.C.85.2016","sedge",14
"HM.1.C.85.2016","woodrush",0
"HM.1.C.91.2015","grass",26
"HM.1.C.91.2015","herb",60
"HM.1.C.91.2015","horsetail",0
"HM.1.C.91.2015","moss",0
"HM.1.C.91.2015","rush",3
"HM.1.C.91.2015","sedge",7
"HM.1.C.91.2015","woodrush",0
"HM.2.A.15.2015","grass",54
"HM.2.A.15.2015","herb",62
"HM.2.A.15.2015","horsetail",0
"HM.2.A.15.2015","moss",0
"HM.2.A.15.2015","rush",23
"HM.2.A.15.2015","sedge",14
"HM.2.A.15.2015","woodrush",0
"HM.2.A.29.2016","grass",89
"HM.2.A.29.2016","herb",66
"HM.2.A.29.2016","horsetail",0
"HM.2.A.29.2016","moss",0
"HM.2.A.29.2016","rush",23
"HM.2.A.29.2016","sedge",2
"HM.2.A.29.2016","woodrush",0
"HM.2.A.35.2015","grass",60
"HM.2.A.35.2015","herb",47
"HM.2.A.35.2015","horsetail",0
"HM.2.A.35.2015","moss",0
"HM.2.A.35.2015","rush",28
"HM.2.A.35.2015","sedge",4
"HM.2.A.35.2015","woodrush",0
"HM.2.A.53.2017","grass",42
"HM.2.A.53.2017","herb",42
"HM.2.A.53.2017","horsetail",0
"HM.2.A.53.2017","moss",0
"HM.2.A.53.2017","rush",47
"HM.2.A.53.2017","sedge",5
"HM.2.A.53.2017","woodrush",0
"HM.2.A.59.2017","grass",37
"HM.2.A.59.2017","herb",42
"HM.2.A.59.2017","horsetail",0
"HM.2.A.59.2017","moss",0
"HM.2.A.59.2017","rush",16
"HM.2.A.59.2017","sedge",14
"HM.2.A.59.2017","woodrush",0
"HM.2.A.6.2017","grass",40
"HM.2.A.6.2017","herb",45
"HM.2.A.6.2017","horsetail",0
"HM.2.A.6.2017","moss",0
"HM.2.A.6.2017","rush",23
"HM.2.A.6.2017","sedge",1
"HM.2.A.6.2017","woodrush",0
"HM.2.A.71.2016","grass",49
"HM.2.A.71.2016","herb",66
"HM.2.A.71.2016","horsetail",0
"HM.2.A.71.2016","moss",0
"HM.2.A.71.2016","rush",12
"HM.2.A.71.2016","sedge",14
"HM.2.A.71.2016","woodrush",1
"HM.2.A.8.2015","grass",52
"HM.2.A.8.2015","herb",49
"HM.2.A.8.2015","horsetail",0
"HM.2.A.8.2015","moss",0
"HM.2.A.8.2015","rush",21
"HM.2.A.8.2015","sedge",14
"HM.2.A.8.2015","woodrush",0
"HM.2.A.80.2016","grass",50
"HM.2.A.80.2016","herb",32
"HM.2.A.80.2016","horsetail",0
"HM.2.A.80.2016","moss",0
"HM.2.A.80.2016","rush",28
"HM.2.A.80.2016","sedge",2
"HM.2.A.80.2016","woodrush",0
"HM.2.B.15.2016","grass",38
"HM.2.B.15.2016","herb",46
"HM.2.B.15.2016","horsetail",0
"HM.2.B.15.2016","moss",0
"HM.2.B.15.2016","rush",19
"HM.2.B.15.2016","sedge",6
"HM.2.B.15.2016","woodrush",0
"HM.2.B.29.2017","grass",48
"HM.2.B.29.2017","herb",70
"HM.2.B.29.2017","horsetail",0
"HM.2.B.29.2017","moss",0
"HM.2.B.29.2017","rush",20
"HM.2.B.29.2017","sedge",14
"HM.2.B.29.2017","woodrush",0
"HM.2.B.35.2016","grass",27
"HM.2.B.35.2016","herb",56
"HM.2.B.35.2016","horsetail",0
"HM.2.B.35.2016","moss",0
"HM.2.B.35.2016","rush",20
"HM.2.B.35.2016","sedge",8
"HM.2.B.35.2016","woodrush",0
"HM.2.B.53.2015","grass",55
"HM.2.B.53.2015","herb",43
"HM.2.B.53.2015","horsetail",0
"HM.2.B.53.2015","moss",0
"HM.2.B.53.2015","rush",2
"HM.2.B.53.2015","sedge",4
"HM.2.B.53.2015","woodrush",0
"HM.2.B.59.2015","grass",39
"HM.2.B.59.2015","herb",59
"HM.2.B.59.2015","horsetail",0
"HM.2.B.59.2015","moss",1
"HM.2.B.59.2015","rush",19
"HM.2.B.59.2015","sedge",3
"HM.2.B.59.2015","woodrush",0
"HM.2.B.6.2015","grass",54
"HM.2.B.6.2015","herb",80
"HM.2.B.6.2015","horsetail",0
"HM.2.B.6.2015","moss",0
"HM.2.B.6.2015","rush",28
"HM.2.B.6.2015","sedge",4
"HM.2.B.6.2015","woodrush",0
"HM.2.B.71.2017","grass",68
"HM.2.B.71.2017","herb",67
"HM.2.B.71.2017","horsetail",0
"HM.2.B.71.2017","moss",0
"HM.2.B.71.2017","rush",5
"HM.2.B.71.2017","sedge",2
"HM.2.B.71.2017","woodrush",0
"HM.2.B.8.2016","grass",85
"HM.2.B.8.2016","herb",73
"HM.2.B.8.2016","horsetail",0
"HM.2.B.8.2016","moss",0
"HM.2.B.8.2016","rush",30
"HM.2.B.8.2016","sedge",4
"HM.2.B.8.2016","woodrush",0
"HM.2.B.80.2017","grass",57
"HM.2.B.80.2017","herb",65
"HM.2.B.80.2017","horsetail",0
"HM.2.B.80.2017","moss",0
"HM.2.B.80.2017","rush",52
"HM.2.B.80.2017","sedge",14
"HM.2.B.80.2017","woodrush",0
"HM.2.C.15.2017","grass",52
"HM.2.C.15.2017","herb",58
"HM.2.C.15.2017","horsetail",0
"HM.2.C.15.2017","moss",0
"HM.2.C.15.2017","rush",12
"HM.2.C.15.2017","sedge",19
"HM.2.C.15.2017","woodrush",0
"HM.2.C.29.2015","grass",41
"HM.2.C.29.2015","herb",45
"HM.2.C.29.2015","horsetail",0
"HM.2.C.29.2015","moss",0
"HM.2.C.29.2015","rush",7
"HM.2.C.29.2015","sedge",2
"HM.2.C.29.2015","woodrush",0
"HM.2.C.35.2017","grass",61
"HM.2.C.35.2017","herb",58
"HM.2.C.35.2017","horsetail",0
"HM.2.C.35.2017","moss",0
"HM.2.C.35.2017","rush",23
"HM.2.C.35.2017","sedge",19
"HM.2.C.35.2017","woodrush",0
"HM.2.C.53.2016","grass",35
"HM.2.C.53.2016","herb",41
"HM.2.C.53.2016","horsetail",0
"HM.2.C.53.2016","moss",0
"HM.2.C.53.2016","rush",48
"HM.2.C.53.2016","sedge",4
"HM.2.C.53.2016","woodrush",0
"HM.2.C.59.2016","grass",24
"HM.2.C.59.2016","herb",69
"HM.2.C.59.2016","horsetail",0
"HM.2.C.59.2016","moss",0
"HM.2.C.59.2016","rush",35
"HM.2.C.59.2016","sedge",15
"HM.2.C.59.2016","woodrush",0
"HM.2.C.6.2016","grass",69
"HM.2.C.6.2016","herb",29
"HM.2.C.6.2016","horsetail",0
"HM.2.C.6.2016","moss",0
"HM.2.C.6.2016","rush",35
"HM.2.C.6.2016","sedge",4
"HM.2.C.6.2016","woodrush",0
"HM.2.C.71.2015","grass",22
"HM.2.C.71.2015","herb",64
"HM.2.C.71.2015","horsetail",0
"HM.2.C.71.2015","moss",0
"HM.2.C.71.2015","rush",16
"HM.2.C.71.2015","sedge",2
"HM.2.C.71.2015","woodrush",0
"HM.2.C.8.2017","grass",28
"HM.2.C.8.2017","herb",26
"HM.2.C.8.2017","horsetail",0
"HM.2.C.8.2017","moss",0
"HM.2.C.8.2017","rush",24
"HM.2.C.8.2017","sedge",1
"HM.2.C.8.2017","woodrush",0
"HM.2.C.80.2015","grass",36
"HM.2.C.80.2015","herb",67
"HM.2.C.80.2015","horsetail",0
"HM.2.C.80.2015","moss",0
"HM.2.C.80.2015","rush",0
"HM.2.C.80.2015","sedge",2
"HM.2.C.80.2015","woodrush",0
"HM.3.A.3.2017","grass",47
"HM.3.A.3.2017","herb",65
"HM.3.A.3.2017","horsetail",0
"HM.3.A.3.2017","moss",0
"HM.3.A.3.2017","rush",23
"HM.3.A.3.2017","sedge",14
"HM.3.A.3.2017","woodrush",0
"HM.3.A.31.2015","grass",72
"HM.3.A.31.2015","herb",57
"HM.3.A.31.2015","horsetail",0
"HM.3.A.31.2015","moss",0
"HM.3.A.31.2015","rush",0
"HM.3.A.31.2015","sedge",7
"HM.3.A.31.2015","woodrush",0
"HM.3.A.47.2015","grass",68
"HM.3.A.47.2015","herb",53
"HM.3.A.47.2015","horsetail",0
"HM.3.A.47.2015","moss",0
"HM.3.A.47.2015","rush",16
"HM.3.A.47.2015","sedge",2
"HM.3.A.47.2015","woodrush",0
"HM.3.A.51.2016","grass",78
"HM.3.A.51.2016","herb",45
"HM.3.A.51.2016","horsetail",0
"HM.3.A.51.2016","moss",0
"HM.3.A.51.2016","rush",13
"HM.3.A.51.2016","sedge",14
"HM.3.A.51.2016","woodrush",0
"HM.3.A.7.2016","grass",39
"HM.3.A.7.2016","herb",35
"HM.3.A.7.2016","horsetail",0
"HM.3.A.7.2016","moss",0
"HM.3.A.7.2016","rush",16
"HM.3.A.7.2016","sedge",5
"HM.3.A.7.2016","woodrush",0
"HM.3.A.73.2017","grass",54
"HM.3.A.73.2017","herb",54
"HM.3.A.73.2017","horsetail",0
"HM.3.A.73.2017","moss",0
"HM.3.A.73.2017","rush",12
"HM.3.A.73.2017","sedge",14
"HM.3.A.73.2017","woodrush",0
"HM.3.A.74.2015","grass",41
"HM.3.A.74.2015","herb",54
"HM.3.A.74.2015","horsetail",0
"HM.3.A.74.2015","moss",0
"HM.3.A.74.2015","rush",12
"HM.3.A.74.2015","sedge",7
"HM.3.A.74.2015","woodrush",0
"HM.3.A.82.2016","grass",60
"HM.3.A.82.2016","herb",24
"HM.3.A.82.2016","horsetail",0
"HM.3.A.82.2016","moss",0
"HM.3.A.82.2016","rush",20
"HM.3.A.82.2016","sedge",15
"HM.3.A.82.2016","woodrush",0
"HM.3.A.88.2017","grass",59
"HM.3.A.88.2017","herb",59
"HM.3.A.88.2017","horsetail",0
"HM.3.A.88.2017","moss",0
"HM.3.A.88.2017","rush",28
"HM.3.A.88.2017","sedge",2
"HM.3.A.88.2017","woodrush",0
"HM.3.B.3.2015","grass",49
"HM.3.B.3.2015","herb",70
"HM.3.B.3.2015","horsetail",0
"HM.3.B.3.2015","moss",2
"HM.3.B.3.2015","rush",16
"HM.3.B.3.2015","sedge",1
"HM.3.B.3.2015","woodrush",0
"HM.3.B.31.2016","grass",58
"HM.3.B.31.2016","herb",32
"HM.3.B.31.2016","horsetail",0
"HM.3.B.31.2016","moss",0
"HM.3.B.31.2016","rush",11
"HM.3.B.31.2016","sedge",2
"HM.3.B.31.2016","woodrush",0
"HM.3.B.47.2016","grass",29
"HM.3.B.47.2016","herb",40
"HM.3.B.47.2016","horsetail",0
"HM.3.B.47.2016","moss",0
"HM.3.B.47.2016","rush",11
"HM.3.B.47.2016","sedge",9
"HM.3.B.47.2016","woodrush",0
"HM.3.B.52.2017","grass",21
"HM.3.B.52.2017","herb",56
"HM.3.B.52.2017","horsetail",0
"HM.3.B.52.2017","moss",0
"HM.3.B.52.2017","rush",15
"HM.3.B.52.2017","sedge",2
"HM.3.B.52.2017","woodrush",0
"HM.3.B.7.2017","grass",46
"HM.3.B.7.2017","herb",34
"HM.3.B.7.2017","horsetail",0
"HM.3.B.7.2017","moss",0
"HM.3.B.7.2017","rush",37
"HM.3.B.7.2017","sedge",0
"HM.3.B.7.2017","woodrush",0
"HM.3.B.73.2015","grass",43
"HM.3.B.73.2015","herb",52
"HM.3.B.73.2015","horsetail",0
"HM.3.B.73.2015","moss",0
"HM.3.B.73.2015","rush",5
"HM.3.B.73.2015","sedge",3
"HM.3.B.73.2015","woodrush",0
"HM.3.B.74.2016","grass",23
"HM.3.B.74.2016","herb",68
"HM.3.B.74.2016","horsetail",0
"HM.3.B.74.2016","moss",0
"HM.3.B.74.2016","rush",3
"HM.3.B.74.2016","sedge",17
"HM.3.B.74.2016","woodrush",0
"HM.3.B.82.2017","grass",27
"HM.3.B.82.2017","herb",46
"HM.3.B.82.2017","horsetail",0
"HM.3.B.82.2017","moss",0
"HM.3.B.82.2017","rush",42
"HM.3.B.82.2017","sedge",4
"HM.3.B.82.2017","woodrush",0
"HM.3.B.88.2015","grass",32
"HM.3.B.88.2015","herb",74
"HM.3.B.88.2015","horsetail",0
"HM.3.B.88.2015","moss",0
"HM.3.B.88.2015","rush",0
"HM.3.B.88.2015","sedge",8
"HM.3.B.88.2015","woodrush",0
"HM.3.C.3.2016","grass",76
"HM.3.C.3.2016","herb",64
"HM.3.C.3.2016","horsetail",0
"HM.3.C.3.2016","moss",0
"HM.3.C.3.2016","rush",36
"HM.3.C.3.2016","sedge",8
"HM.3.C.3.2016","woodrush",0
"HM.3.C.31.2017","grass",30
"HM.3.C.31.2017","herb",57
"HM.3.C.31.2017","horsetail",0
"HM.3.C.31.2017","moss",0
"HM.3.C.31.2017","rush",6
"HM.3.C.31.2017","sedge",1
"HM.3.C.31.2017","woodrush",0
"HM.3.C.47.2017","grass",56
"HM.3.C.47.2017","herb",54
"HM.3.C.47.2017","horsetail",0
"HM.3.C.47.2017","moss",0
"HM.3.C.47.2017","rush",21
"HM.3.C.47.2017","sedge",16
"HM.3.C.47.2017","woodrush",0
"HM.3.C.52.2015","grass",26
"HM.3.C.52.2015","herb",47
"HM.3.C.52.2015","horsetail",0
"HM.3.C.52.2015","moss",0
"HM.3.C.52.2015","rush",12
"HM.3.C.52.2015","sedge",7
"HM.3.C.52.2015","woodrush",0
"HM.3.C.7.2015","grass",31
"HM.3.C.7.2015","herb",54
"HM.3.C.7.2015","horsetail",0
"HM.3.C.7.2015","moss",0
"HM.3.C.7.2015","rush",0
"HM.3.C.7.2015","sedge",7
"HM.3.C.7.2015","woodrush",0
"HM.3.C.73.2016","grass",59
"HM.3.C.73.2016","herb",67
"HM.3.C.73.2016","horsetail",0
"HM.3.C.73.2016","moss",0
"HM.3.C.73.2016","rush",31
"HM.3.C.73.2016","sedge",14
"HM.3.C.73.2016","woodrush",0
"HM.3.C.74.2017","grass",25
"HM.3.C.74.2017","herb",74
"HM.3.C.74.2017","horsetail",0
"HM.3.C.74.2017","moss",0
"HM.3.C.74.2017","rush",34
"HM.3.C.74.2017","sedge",14
"HM.3.C.74.2017","woodrush",0
"HM.3.C.82.2015","grass",50
"HM.3.C.82.2015","herb",65
"HM.3.C.82.2015","horsetail",0
"HM.3.C.82.2015","moss",0
"HM.3.C.82.2015","rush",45
"HM.3.C.82.2015","sedge",4
"HM.3.C.82.2015","woodrush",0
"HM.3.C.88.2016","grass",90
"HM.3.C.88.2016","herb",84
"HM.3.C.88.2016","horsetail",0
"HM.3.C.88.2016","moss",0
"HM.3.C.88.2016","rush",28
"HM.3.C.88.2016","sedge",11
"HM.3.C.88.2016","woodrush",0
"HM.4.A.19.2017","grass",41
"HM.4.A.19.2017","herb",47
"HM.4.A.19.2017","horsetail",0
"HM.4.A.19.2017","moss",0
"HM.4.A.19.2017","rush",33
"HM.4.A.19.2017","sedge",2
"HM.4.A.19.2017","woodrush",0
"HM.4.A.2.2017","grass",61
"HM.4.A.2.2017","herb",77
"HM.4.A.2.2017","horsetail",0
"HM.4.A.2.2017","moss",0
"HM.4.A.2.2017","rush",25
"HM.4.A.2.2017","sedge",16
"HM.4.A.2.2017","woodrush",0
"HM.4.A.24.2015","grass",20
"HM.4.A.24.2015","herb",66
"HM.4.A.24.2015","horsetail",0
"HM.4.A.24.2015","moss",1
"HM.4.A.24.2015","rush",30
"HM.4.A.24.2015","sedge",17
"HM.4.A.24.2015","woodrush",0
"HM.4.A.37.2015","grass",28
"HM.4.A.37.2015","herb",80
"HM.4.A.37.2015","horsetail",0
"HM.4.A.37.2015","moss",1
"HM.4.A.37.2015","rush",12
"HM.4.A.37.2015","sedge",4
"HM.4.A.37.2015","woodrush",0
"HM.4.A.38.2017","grass",24
"HM.4.A.38.2017","herb",55
"HM.4.A.38.2017","horsetail",0
"HM.4.A.38.2017","moss",0
"HM.4.A.38.2017","rush",20
"HM.4.A.38.2017","sedge",14
"HM.4.A.38.2017","woodrush",0
"HM.4.A.58.2016","grass",74
"HM.4.A.58.2016","herb",75
"HM.4.A.58.2016","horsetail",0
"HM.4.A.58.2016","moss",0
"HM.4.A.58.2016","rush",16
"HM.4.A.58.2016","sedge",15
"HM.4.A.58.2016","woodrush",0
"HM.4.A.65.2016","grass",59
"HM.4.A.65.2016","herb",90
"HM.4.A.65.2016","horsetail",0
"HM.4.A.65.2016","moss",0
"HM.4.A.65.2016","rush",12
"HM.4.A.65.2016","sedge",14
"HM.4.A.65.2016","woodrush",0
"HM.4.A.73.2016","grass",64
"HM.4.A.73.2016","herb",60
"HM.4.A.73.2016","horsetail",0
"HM.4.A.73.2016","moss",0
"HM.4.A.73.2016","rush",30
"HM.4.A.73.2016","sedge",16
"HM.4.A.73.2016","woodrush",0
"HM.4.A.9.2015","grass",26
"HM.4.A.9.2015","herb",49
"HM.4.A.9.2015","horsetail",0
"HM.4.A.9.2015","moss",1
"HM.4.A.9.2015","rush",35
"HM.4.A.9.2015","sedge",2
"HM.4.A.9.2015","woodrush",0
"HM.4.B.19.2015","grass",66
"HM.4.B.19.2015","herb",59
"HM.4.B.19.2015","horsetail",0
"HM.4.B.19.2015","moss",5
"HM.4.B.19.2015","rush",17
"HM.4.B.19.2015","sedge",4
"HM.4.B.19.2015","woodrush",0
"HM.4.B.2.2015","grass",29
"HM.4.B.2.2015","herb",52
"HM.4.B.2.2015","horsetail",0
"HM.4.B.2.2015","moss",0
"HM.4.B.2.2015","rush",7
"HM.4.B.2.2015","sedge",4
"HM.4.B.2.2015","woodrush",0
"HM.4.B.24.2016","grass",21
"HM.4.B.24.2016","herb",51
"HM.4.B.24.2016","horsetail",0
"HM.4.B.24.2016","moss",0
"HM.4.B.24.2016","rush",11
"HM.4.B.24.2016","sedge",6
"HM.4.B.24.2016","woodrush",0
"HM.4.B.38.2015","grass",39
"HM.4.B.38.2015","herb",42
"HM.4.B.38.2015","horsetail",0
"HM.4.B.38.2015","moss",1
"HM.4.B.38.2015","rush",2
"HM.4.B.38.2015","sedge",2
"HM.4.B.38.2015","woodrush",0
"HM.4.B.58.2017","grass",53
"HM.4.B.58.2017","herb",59
"HM.4.B.58.2017","horsetail",0
"HM.4.B.58.2017","moss",0
"HM.4.B.58.2017","rush",19
"HM.4.B.58.2017","sedge",2
"HM.4.B.58.2017","woodrush",0
"HM.4.B.65.2017","grass",61
"HM.4.B.65.2017","herb",52
"HM.4.B.65.2017","horsetail",0
"HM.4.B.65.2017","moss",0
"HM.4.B.65.2017","rush",17
"HM.4.B.65.2017","sedge",1
"HM.4.B.65.2017","woodrush",0
"HM.4.B.67.2016","grass",72
"HM.4.B.67.2016","herb",60
"HM.4.B.67.2016","horsetail",0
"HM.4.B.67.2016","moss",0
"HM.4.B.67.2016","rush",67
"HM.4.B.67.2016","sedge",8
"HM.4.B.67.2016","woodrush",0
"HM.4.B.73.2017","grass",63
"HM.4.B.73.2017","herb",66
"HM.4.B.73.2017","horsetail",1
"HM.4.B.73.2017","moss",0
"HM.4.B.73.2017","rush",2
"HM.4.B.73.2017","sedge",2
"HM.4.B.73.2017","woodrush",0
"HM.4.B.9.2016","grass",59
"HM.4.B.9.2016","herb",50
"HM.4.B.9.2016","horsetail",0
"HM.4.B.9.2016","moss",0
"HM.4.B.9.2016","rush",34
"HM.4.B.9.2016","sedge",1
"HM.4.B.9.2016","woodrush",0
"HM.4.C.19.2016","grass",64
"HM.4.C.19.2016","herb",48
"HM.4.C.19.2016","horsetail",0
"HM.4.C.19.2016","moss",0
"HM.4.C.19.2016","rush",0
"HM.4.C.19.2016","sedge",4
"HM.4.C.19.2016","woodrush",0
"HM.4.C.2.2016","grass",71
"HM.4.C.2.2016","herb",69
"HM.4.C.2.2016","horsetail",0
"HM.4.C.2.2016","moss",0
"HM.4.C.2.2016","rush",20
"HM.4.C.2.2016","sedge",14
"HM.4.C.2.2016","woodrush",0
"HM.4.C.24.2017","grass",61
"HM.4.C.24.2017","herb",27
"HM.4.C.24.2017","horsetail",0
"HM.4.C.24.2017","moss",0
"HM.4.C.24.2017","rush",16
"HM.4.C.24.2017","sedge",1
"HM.4.C.24.2017","woodrush",0
"HM.4.C.38.2016","grass",64
"HM.4.C.38.2016","herb",76
"HM.4.C.38.2016","horsetail",0
"HM.4.C.38.2016","moss",0
"HM.4.C.38.2016","rush",1
"HM.4.C.38.2016","sedge",3
"HM.4.C.38.2016","woodrush",0
"HM.4.C.58.2015","grass",81
"HM.4.C.58.2015","herb",105
"HM.4.C.58.2015","horsetail",0
"HM.4.C.58.2015","moss",0
"HM.4.C.58.2015","rush",12
"HM.4.C.58.2015","sedge",4
"HM.4.C.58.2015","woodrush",0
"HM.4.C.65.2015","grass",92
"HM.4.C.65.2015","herb",84
"HM.4.C.65.2015","horsetail",0
"HM.4.C.65.2015","moss",0
"HM.4.C.65.2015","rush",12
"HM.4.C.65.2015","sedge",8
"HM.4.C.65.2015","woodrush",0
"HM.4.C.67.2017","grass",39
"HM.4.C.67.2017","herb",66
"HM.4.C.67.2017","horsetail",0
"HM.4.C.67.2017","moss",0
"HM.4.C.67.2017","rush",7
"HM.4.C.67.2017","sedge",1
"HM.4.C.67.2017","woodrush",0
"HM.4.C.73.2015","grass",66
"HM.4.C.73.2015","herb",67
"HM.4.C.73.2015","horsetail",0
"HM.4.C.73.2015","moss",0
